Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account/bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,Other_debtors/guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,foreign_worker,credit_risk
less than 0,12,delay in paying off in the past,new car,1344,less than 116,less than 4 years,4,male : single,none,2,real estate,43,,own,2,unskilled,2,none,Y,1
less than 0,24,existing credits paid back till now,furniture/equipment,1747,less than 116,less than 1 year,4,male : single,co-applicant,1,building society saving agreement/life insurance,24,,own,1,unskilled,1,none,N,1
less than 116,9,existing credits paid back till now,radio/television,1670,less than 116,less than 1 year,4,female : divorced/separated/married,none,2,car or other,22,,own,1,skilled employee,1,yes,Y,0
no checking account,9,critical account/ other credits existing,new car,1224,less than 116,less than 4 years,3,male : single,none,1,real estate,30,,own,2,skilled employee,1,none,Y,1
no checking account,12,critical account/ other credits existing,radio/television,522,less than 582,greater than 7 years,4,male : single,none,4,building society saving agreement/life insurance,42,,own,2,skilled employee,2,yes,Y,1
less than 0,12,existing credits paid back till now,radio/television,1498,less than 116,less than 4 years,4,female : divorced/separated/married,none,1,car or other,23,none,own,1,skilled employee,1,none,Y,1
less than 116,30,delay in paying off in the past,radio/television,1919,less than 291,less than 1 year,4,male : single,none,3,unkown/no property,30,stores,own,2,self_employed/highly qualified employee,1,none,Y,0
greater than or equal to 116,9,existing credits paid back till now,radio/television,745,less than 116,less than 4 years,3,female : divorced/separated/married,none,2,real estate,28,,own,1,unskilled,1,none,Y,0
less than 116,6,existing credits paid back till now,radio/television,2063,less than 116,less than 1 year,4,male : married/widowed,none,3,car or other,30,,rent,1,self_employed/highly qualified employee,1,yes,Y,1
less than 116,60,existing credits paid back till now,education,6288,less than 116,less than 4 years,4,male : single,none,4,unkown/no property,42,,for free,1,skilled employee,1,none,Y,0
no checking account,24,critical account/ other credits existing,used car,6842,unkown/no savings account,less than 4 years,2,male : single,none,4,building society saving agreement/life insurance,46,,own,2,self_employed/highly qualified employee,2,yes,Y,1
no checking account,12,existing credits paid back till now,new car,3527,unkown/no savings account,less than 1 year,2,male : single,none,3,building society saving agreement/life insurance,45,,own,1,self_employed/highly qualified employee,2,yes,Y,1
no checking account,10,existing credits paid back till now,new car,1546,less than 116,less than 4 years,3,male : single,none,2,real estate,31,,own,1,unskilled,2,none,N,1
no checking account,24,existing credits paid back till now,furniture/equipment,929,unkown/no savings account,less than 7 years,4,male : single,none,2,car or other,31,stores,own,1,skilled employee,1,yes,Y,1
no checking account,4,critical account/ other credits existing,new car,1455,less than 116,less than 7 years,2,male : single,none,1,real estate,42,,own,3,unskilled,2,none,Y,1
less than 0,15,existing credits paid back till now,furniture/equipment,1845,less than 116,less than 1 year,4,female : divorced/separated/married,guarantor,1,building society saving agreement/life insurance,46,,rent,1,skilled employee,1,none,Y,1
less than 116,48,no credits taken/all credit paid back,new car,8358,less than 582,less than 1 year,1,female : divorced/separated/married,none,1,car or other,30,,own,2,skilled employee,1,none,Y,1
less than 0,24,all credits at this bank paid back,furniture/equipment,3349,less than 582,less than 1 year,4,male : single,none,4,unkown/no property,30,,for free,1,skilled employee,2,yes,Y,0
no checking account,12,existing credits paid back till now,new car,2859,unkown/no savings account,unemployed,4,male : single,none,4,unkown/no property,38,,own,1,self_employed/highly qualified employee,1,yes,Y,1
no checking account,18,existing credits paid back till now,furniture/equipment,1533,less than 116,less than 1 year,4,male : married/widowed,co-applicant,1,building society saving agreement/life insurance,43,,own,1,unskilled,2,none,Y,0
no checking account,24,existing credits paid back till now,radio/television,3621,less than 291,greater than 7 years,2,male : single,none,4,car or other,31,,own,2,skilled employee,1,none,Y,0
less than 116,18,critical account/ other credits existing,business,3590,less than 116,unemployed,3,male : married/widowed,none,3,car or other,40,,own,3,unemployed,2,yes,Y,1
less than 0,36,delay in paying off in the past,business,2145,less than 116,less than 7 years,2,male : single,none,1,car or other,24,,own,2,skilled employee,1,yes,Y,0
less than 116,24,existing credits paid back till now,used car,4113,less than 582,less than 1 year,3,female : divorced/separated/married,none,4,car or other,28,,rent,1,skilled employee,1,none,Y,0
no checking account,36,existing credits paid back till now,furniture/equipment,10974,less than 116,unemployed,4,female : divorced/separated/married,none,2,car or other,26,,own,2,self_employed/highly qualified employee,1,yes,Y,0
less than 0,12,existing credits paid back till now,new car,1893,less than 116,less than 4 years,4,female : divorced/separated/married,guarantor,4,building society saving agreement/life insurance,29,,own,1,skilled employee,1,yes,Y,1
less than 0,24,critical account/ other credits existing,radio/television,1231,greater than 582,greater than 7 years,4,female : divorced/separated/married,none,4,building society saving agreement/life insurance,57,,rent,2,self_employed/highly qualified employee,1,yes,Y,1
greater than or equal to 116,30,critical account/ other credits existing,radio/television,3656,unkown/no savings account,greater than 7 years,4,male : single,none,4,building society saving agreement/life insurance,49,stores,own,2,unskilled,1,none,Y,1
less than 116,9,critical account/ other credits existing,radio/television,1154,less than 116,greater than 7 years,2,male : single,none,4,real estate,37,,own,3,unskilled,1,none,Y,1
less than 0,28,existing credits paid back till now,new car,4006,less than 116,less than 4 years,3,male : single,none,2,car or other,45,,own,1,unskilled,1,none,Y,0
less than 116,24,existing credits paid back till now,furniture/equipment,3069,less than 291,greater than 7 years,4,male : single,none,4,unkown/no property,30,,for free,1,skilled employee,1,none,Y,1
no checking account,6,critical account/ other credits existing,radio/television,1740,less than 116,greater than 7 years,2,male : married/widowed,none,2,real estate,30,,rent,2,skilled employee,1,none,Y,1
less than 116,21,delay in paying off in the past,new car,2353,less than 116,less than 4 years,1,male : divocred/separated,none,4,building society saving agreement/life insurance,47,,own,2,skilled employee,1,none,Y,1
no checking account,15,existing credits paid back till now,new car,3556,unkown/no savings account,less than 4 years,3,male : single,none,2,unkown/no property,29,,own,1,skilled employee,1,none,Y,1
no checking account,24,existing credits paid back till now,radio/television,2397,less than 582,greater than 7 years,3,male : single,none,2,car or other,35,none,own,2,skilled employee,1,yes,Y,0
less than 116,6,existing credits paid back till now,repairs,454,less than 116,less than 1 year,3,male : married/widowed,none,1,building society saving agreement/life insurance,22,,own,1,unskilled,1,none,Y,1
less than 116,30,existing credits paid back till now,radio/television,1715,unkown/no savings account,less than 4 years,4,female : divorced/separated/married,none,1,car or other,26,,own,1,skilled employee,1,none,Y,1
less than 116,27,critical account/ other credits existing,radio/television,2520,less than 582,less than 4 years,4,male : single,none,2,building society saving agreement/life insurance,23,,own,2,unskilled,1,none,Y,0
no checking account,15,existing credits paid back till now,radio/television,3568,less than 116,greater than 7 years,4,female : divorced/separated/married,none,2,car or other,54,none,rent,1,self_employed/highly qualified employee,1,yes,Y,1
no checking account,42,existing credits paid back till now,radio/television,7166,unkown/no savings account,less than 7 years,2,male : married/widowed,none,4,building society saving agreement/life insurance,29,,rent,1,skilled employee,1,yes,Y,1
less than 0,11,critical account/ other credits existing,new car,3939,less than 116,less than 4 years,1,male : single,none,2,real estate,40,,own,2,unskilled,2,none,Y,1
less than 116,15,existing credits paid back till now,repairs,1514,less than 291,less than 4 years,4,male : single,guarantor,2,real estate,22,,own,1,skilled employee,1,none,Y,1
no checking account,24,existing credits paid back till now,new car,7393,less than 116,less than 4 years,1,male : single,none,4,building society saving agreement/life insurance,43,,own,1,unskilled,2,none,Y,1
less than 0,24,all credits at this bank paid back,new car,1193,less than 116,unemployed,1,female : divorced/separated/married,co-applicant,4,unkown/no property,29,,rent,2,unemployed,1,none,Y,0
less than 0,60,existing credits paid back till now,business,7297,less than 116,greater than 7 years,4,male : single,co-applicant,4,unkown/no property,36,,rent,1,skilled employee,1,none,Y,0
no checking account,30,critical account/ other credits existing,radio/television,2831,less than 116,less than 4 years,4,female : divorced/separated/married,none,2,car or other,33,,own,1,skilled employee,1,yes,Y,1
greater than or equal to 116,24,existing credits paid back till now,radio/television,1258,less than 582,less than 4 years,3,female : divorced/separated/married,none,3,car or other,57,,own,1,unskilled,1,none,Y,1
less than 116,6,existing credits paid back till now,radio/television,753,less than 116,less than 4 years,2,female : divorced/separated/married,guarantor,3,real estate,64,,own,1,skilled employee,1,none,Y,1
less than 116,18,delay in paying off in the past,business,2427,unkown/no savings account,greater than 7 years,4,male : single,none,2,building society saving agreement/life insurance,42,,own,2,skilled employee,1,none,Y,1
no checking account,24,delay in paying off in the past,new car,2538,less than 116,greater than 7 years,4,male : single,none,4,car or other,47,,own,2,unskilled,2,none,Y,0
less than 116,15,all credits at this bank paid back,new car,1264,less than 291,less than 4 years,2,male : married/widowed,none,2,building society saving agreement/life insurance,25,,rent,1,skilled employee,1,none,Y,0
